Date/heure;Température moy;Température max;Température min;Rayonnement solaire moy;Précipitations Somme;Vitesse du vent  moy;Vitesse du vent  max;Vitesse du vent max [m/s] max;ETP quotidien [mm]
22/06/2021 00:00;15.92;22.54;14.12;108;4.8;0.2;0.8;2.4;
21/06/2021 00:00;18.9;27.75;12.96;310;3.4;0.6;1.7;4.3;4.8
20/06/2021 00:00;18.69;27.47;10.13;324;0;0.4;1.3;3.4;4.7
19/06/2021 00:00;16.95;21.41;13.49;109;6.8;0.3;1;2.5;2
18/06/2021 00:00;18.72;22.25;16.43;86;0.4;0.5;1.4;3.3;1.9
17/06/2021 00:00;20.57;27.65;16.07;252;0;0.6;1.4;5.4;4.2
16/06/2021 00:00;19.63;26.69;15.34;244;2.2;0.5;1.7;3.5;3.9
15/06/2021 00:00;21.12;29.08;15.46;269;2;0.5;1.7;4;4.4
14/06/2021 00:00;20.45;27.67;14.67;285;10.8;0.5;1.4;3.2;4.5
13/06/2021 00:00;21.23;29.06;14.03;319;0;0.5;1.1;3;5
12/06/2021 00:00;21.07;29.46;16.56;261;0;0.4;1.5;3.6;4.3
11/06/2021 00:00;24.26;32.5;17.77;287;19.8;0.5;1.5;4.1;4.9
10/06/2021 00:00;27.96;37.41;19.02;298;0.6;0.3;1.2;3.1;5
09/06/2021 00:00;26.71;36.45;17.73;290;2.4;0.3;1.5;3.1;4.9
08/06/2021 00:00;26.07;32.61;21.31;140;0;0.2;1.5;3.4;2.8
07/06/2021 00:00;27.32;36.44;20.1;262;0;0.5;1.3;3.5;4.8
06/06/2021 00:00;24.56;34.52;15.53;312;0;0.5;1.9;4.9;5.2
05/06/2021 00:00;20.3;28.13;14.94;286;0;0.4;1.2;2.7;4.5
04/06/2021 00:00;18.09;22.94;14.95;146;13.2;0.5;1.5;4.3;2.5
03/06/2021 00:00;18.82;28.94;13.02;274;3.2;0.6;1.4;3.7;4.4
02/06/2021 00:00;19.09;27.43;12.36;322;0;0.6;1.5;4;4.8
01/06/2021 00:00;19.83;27.51;15.37;287;0;0.4;1.1;3.6;4.5
31/05/2021 00:00;21.14;26.3;16.97;194;0;0.5;1.3;4;3.4
30/05/2021 00:00;26.85;34.72;21.21;137;0;0.4;2.8;7.5;3.1
29/05/2021 00:00;24.36;31.89;16.66;226;0;0.3;1.1;2.1;3.9
28/05/2021 00:00;22.89;32.4;15.16;267;0;0.3;1.3;2.9;4.4
27/05/2021 00:00;21.31;27.55;16.78;256;2.2;0.5;1.4;3.2;4.2
26/05/2021 00:00;21.53;28.91;15.1;170;0;0.2;1;2.8;3
25/05/2021 00:00;19.56;28.59;11.57;233;5;0.3;1.2;2.6;3.6
24/05/2021 00:00;16.74;26.97;8.2;297;0;0.5;1.5;3.1;4.3
23/05/2021 00:00;16.09;22.65;11.14;185;1.6;0.8;1.8;4.3;3.1
22/05/2021 00:00;21.66;28.94;15.79;245;28.4;0.5;1.3;3.2;4.1
21/05/2021 00:00;25.19;34.79;17.34;315;0.4;0.4;1.3;3.7;5.1
20/05/2021 00:00;25.73;36.82;17.6;323;9.4;0.2;0.9;3;5
19/05/2021 00:00;24.28;33.66;14.96;322;0;0.3;1;3.1;5
18/05/2021 00:00;22.96;32.86;14.14;326;0;0.4;1.2;5.1;5.1
17/05/2021 00:00;21.39;29.56;14.58;307;0.4;0.4;1.1;2.6;4.7
16/05/2021 00:00;24.24;32.16;16.93;293;0;0.5;1.6;3.9;4.9
15/05/2021 00:00;22.93;32.29;13.01;296;0;0.3;1.4;3;4.6
14/05/2021 00:00;18.34;27.21;9.68;309;0;0.4;1.3;3;4.4
13/05/2021 00:00;17.2;25.97;11.13;301;0;0.5;1.2;2.6;4.3
12/05/2021 00:00;16.26;24.85;8.21;327;0;0.4;1;3.1;4.3
